Fund Ticker,Security Identifier,Holding Ticker,Shares/Par Value,MarketValue,Weight,Name,Class of Shares,Sector,Date
QQQ,594918104,MSFT ,"76,167,839","17,450,051,914.90",12.056,Microsoft Corp,Common Stock,Information Technology,01/04/2023
QQQ,037833100,AAPL ,"131,280,809","16,588,643,025.24",11.461,Apple Inc,Common Stock,Information Technology,01/04/2023
QQQ,023135106,AMZN ,"104,672,995","8,911,858,794.30",6.157,Amazon.com Inc,Common Stock,Consumer Discretionary,01/04/2023
QQQ,02079K107,GOOG ,"62,444,808","5,539,478,917.68",3.827,Alphabet Inc,Common Stock,Communication Services,01/04/2023
QQQ,02079K305,GOOGL ,"62,463,961","5,501,825,684.88",3.801,Alphabet Inc,Common Stock,Communication Services,01/04/2023
QQQ,67066G104,NVDA ,"32,744,601","4,829,501,201.49",3.337,NVIDIA Corp,Common Stock,Information Technology,01/04/2023
QQQ,30303M102,META ,"29,931,637","3,812,392,604.69",2.634,Meta Platforms Inc,Common Stock,Communication Services,01/04/2023
QQQ,88160R101,TSLA ,"32,399,813","3,681,914,749.32",2.544,Tesla Inc,Common Stock,Consumer Discretionary,01/04/2023
QQQ,713448108,PEP ,"18,338,453","3,282,032,933.41",2.268,PepsiCo Inc,Common Stock,Consumer Staples,01/04/2023
QQQ,11135F101,AVGO ,"5,390,908","3,020,202,297.92",2.087,Broadcom Inc,Common Stock,Information Technology,01/04/2023
QQQ,22160K105,COST ,"5,891,430","2,689,791,280.80",1.858,Costco Wholesale Corp,Common Stock,Consumer Staples,01/04/2023
QQQ,17275R102,CSCO ,"54,682,198","2,600,138,514.90",1.796,Cisco Systems Inc,Common Stock,Information Technology,01/04/2023
QQQ,872590104,TMUS ,"16,560,714","2,317,837,531.44",1.601,T-Mobile US Inc,Common Stock,Communication Services,01/04/2023
QQQ,00724F101,ADBE ,"6,188,215","2,112,718,483.15",1.460,Adobe Inc,Common Stock,Information Technology,01/04/2023
QQQ,20030N101,CMCSA ,"57,422,451","2,101,087,482.09",1.452,Comcast Corp,Common Stock,Communication Services,01/04/2023
QQQ,882508104,TXN ,"12,080,546","2,043,665,966.82",1.412,Texas Instruments Inc,Common Stock,Information Technology,01/04/2023
QQQ,438516106,HON ,"8,949,157","1,879,680,936.28",1.299,Honeywell International Inc,Common Stock,Industrials,01/04/2023
QQQ,031162100,AMGN ,"7,102,391","1,877,801,156.49",1.297,Amgen Inc,Common Stock,Health Care,01/04/2023
QQQ,64110L106,NFLX ,"5,923,591","1,832,818,291.31",1.266,Netflix Inc,Common Stock,Communication Services,01/04/2023
QQQ,747525103,QCOM ,"14,921,412","1,664,185,080.36",1.150,QUALCOMM Inc,Common Stock,Information Technology,01/04/2023
QQQ,855244109,SBUX ,"15,278,169","1,595,957,533.74",1.103,Starbucks Corp,Common Stock,Consumer Discretionary,01/04/2023
QQQ,458140100,INTC ,"54,933,735","1,520,565,784.80",1.051,Intel Corp,Common Stock,Information Technology,01/04/2023
